Unique Sort ID (800-53r5),SP 800-53 Rev 5 Control & Control Enhancement,Tailoring Decision,Unique Sort ID (IPD 800-171r3),SP 800-171 Rev 3 Security Requirement,Additional Tailoring ,
CA-02-00-09,f. Provide the results of the control assessment to [Assignment: organization-defined individuals or roles].,NCO, ,—,,
CA-02-01-00,CA-2(1)  Control Assessments | Independent Assessors,CUI,03-12-05:,3.12.5  Independent Assessment,,
CA-02-01-01,Employ independent assessors or assessment teams to conduct control assessments.,CUI,03-12-05.,3.12.5. Use independent assessors or assessment teams to assess controls.,,
CA-03-00-00,CA-3  Information Exchange,CUI,03-12-06:,3.12.6  Information Exchange,,
CA-03-00-01,a. Approve and manage the exchange of information between the system and other systems using [Selection (one or more): interconnection security agreements; information exchange security agreements; memoranda of understanding or agreement; service level agreements; user agreements; nondisclosure agreements; [Assignment: organization-defined type of agreement]];,CUI,03-12-06a.,"3.12.6a. Approve, document, and manage the exchange of CUI between the system and other systems using [Assignment: organization-defined agreements].","Combined multiple controls items  CA-3a., CA-3b.",
CA-03-00-02,"b. Document, as part of each exchange agreement, the interface characteristics, security and privacy requirements, controls, and responsibilities for each system, and the impact level of the information communicated; and",CUI,03-12-06a.,"3.12.6a. Approve, document, and manage the exchange of CUI between the system and other systems using [Assignment: organization-defined agreements].","Combined multiple controls items  CA-3a., CA-3b.",
CA-03-00-03,c. Review and update the agreements [Assignment: organization-defined frequency].,CUI,03-12-06b.,3.12.6b. Review and update the agreements [Assignment: organization-defined frequency].,,
CA-05-00-00,CA-5  Plan of Action and Milestones,CUI,03-12-02:,3.12.2  Plan of Action and Milestones,,
CA-05-00-01,a. Develop a plan of action and milestones for the system to document the planned remediation actions of the organization to correct weaknesses or deficiencies noted during the assessment of the controls and to reduce or eliminate known vulnerabilities in the system; and,CUI,03-12-02a.,"3.12.2a. Develop a plan of action and milestones for the system 
3.12.2a.1. To document the planned remediation actions to correct weaknesses or deficiencies noted during control assessments; and
3.12.2a.2. To reduce or eliminate known vulnerabilities in the system.",,
CA-05-00-02,"b. Update existing plan of action and milestones [Assignment: organization-defined frequency] based on the findings from control assessments, independent audits or reviews, and continuous monitoring activities.",CUI,03-12-02b.,"3.12.2b. Update the existing plan of action and milestones [Assignment: organization-defined frequency] based on the findings from control assessments, independent audits or reviews, and continuous monitoring activities.",,
CA-06-00-00,CA-6  Authorization,FED, ,—,,
CA-06-00-01,a. Assign a senior official as the authorizing official for the system;,FED, ,—,,
CA-06-00-02,b. Assign a senior official as the authorizing official for common controls available for inheritance by organizational systems;,FED, ,—,,
CA-06-00-03,"c. Ensure that the authorizing official for the system, before commencing operations ",FED, ,—,,
CA-06-00-04,1. Accepts the use of common controls inherited by the system; and,FED, ,—,,
CA-06-00-05,2. Authorizes the system to operate;,FED, ,—,,
CA-06-00-06,d. Ensure that the authorizing official for common controls authorizes the use of those controls for inheritance by organizational systems;,FED, ,—,,
CA-06-00-07,e. Update the authorizations [Assignment: organization-defined frequency].,FED, ,—,,
CA-07-00-00,CA-7  Continuous Monitoring,CUI,03-12-03:,3.12.3  Continuous Monitoring,,
CA-07-00-01,Develop a system-level continuous monitoring strategy and implement continuous monitoring in accordance with the organization-level continuous monitoring strategy that includes:,CUI,03-12-03.,3.12.3. Develop and implement a system-level continuous monitoring strategy that includes ongoing monitoring and assessment of control effectiveness.,"Combined multiple control items  CA-7, CA-7c.",
CA-07-00-02,a. Establishing the following system-level metrics to be monitored  [Assignment: organization-defined system-level metrics];,NCO, ,—,,
CA-07-00-03,b. Establishing [Assignment: organization-defined frequencies] for monitoring and [Assignment: organization-defined frequencies] for assessment of control effectiveness;,NFO, ,—,,
CA-07-00-04,c. Ongoing control assessments in accordance with the continuous monitoring strategy;,CUI,03-12-03.,3.12.3. Develop and implement a system-level continuous monitoring strategy that includes ongoing monitoring and assessment of control effectiveness.,"Combined multiple control items  CA-7, CA-7c.",
CA-07-00-05,d. Ongoing monitoring of system and organization-defined metrics in accordance with the continuous monitoring strategy;,NCO, ,—,,
CA-07-00-06,e. Correlation and analysis of information generated by control assessments and monitoring;,NCO, ,—,,
CA-07-00-07,f. Response actions to address results of the analysis of control assessment and monitoring information; and,NCO, ,—,,
CA-07-00-08,g. Reporting the security and privacy status of the system to [Assignment: organization-defined personnel or roles][Assignment: organization-defined frequency].,NCO, ,—,,
CA-07-01-09,CA-7(1)  Continuous Monitoring | Independent Assessment,NCO, ,—,,
CA-07-01-10,Employ independent assessors or assessment teams to monitor the controls in the system on an ongoing basis.,NCO, ,—,,
CA-07-04-00,CA-7(4)  Continuous Monitoring | Risk Monitoring,NCO, ,—,,
CA-07-04-01,Ensure risk monitoring is an integral part of the continuous monitoring strategy that includes the following ,NCO, ,—,,
CA-07-04-02,(a) Effectiveness monitoring;,NCO, ,—,,
CA-07-04-03,(b) Compliance monitoring; and,NCO, ,—,,
CA-07-04-04,(c) Change monitoring.,NCO, ,—,,
CA-09-00-00,CA-9  Internal System Connections,CUI,03-12-07:,3.12.7  Internal System Connections,,
CA-09-00-01,a. Authorize internal connections of [Assignment: organization-defined system components or classes of components] to the system;,CUI,03-12-07a.,3.12.7a. Authorize internal system connections of [Assignment: organization-defined system components or classes of components].,,
CA-09-00-02,"b. Document, for each internal connection, the interface characteristics, security and privacy requirements, and the nature of the information communicated;",NCO, ,—,,
CA-09-00-03,c. Terminate internal system connections after [Assignment: organization-defined conditions]; and,NCO, ,—,,
CA-09-00-04,d. Review [Assignment: organization-defined frequency] the continued need for each internal connection.,CUI,03-12-07b.,3.12.7b. Review the continued need for each internal system connection [Assignment: organization-defined frequency].,,
CM-01-00-05,CM-1  Policy and Procedures,CUI,03-15-01:,3.15.1  Policy and Procedures,,
CM-01-00-06,"a. Develop, document, and disseminate to [Assignment: organization-defined personnel or roles]:",CUI,03-15-01a.,"3.15.1a. Develop, document, and disseminate to organizational personnel or roles, policies and procedures needed to implement security requirements.","Addresses all policy (instead of only configuration management policy)
Removed ODP to assign ""personnel or roles""",
CM-01-00-07,1. [Selection (one or more): organization-level; mission/business process-level; system-level] configuration management policy that:,CUI,03-15-01a.,"3.15.1a. Develop, document, and disseminate to organizational personnel or roles, policies and procedures needed to implement security requirements.","Removed ODP to select one or more ""organization-level; mission/business process-level; system level""",
CM-01-00-08,"(a) Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and",NCO, ,—,,
CM-01-00-09,"(b) Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and",NCO, ,—,,
CM-01-00-10,2. Procedures to facilitate the implementation of the configuration management policy and the associated configuration management controls;,CUI,03-15-01a.,"3.15.1a. Develop, document, and disseminate to organizational personnel or roles, policies and procedures needed to implement security requirements.",Addresses all procedures (instead of only configuration management procedures),
CM-01-00-11,"b. Designate an [Assignment: organization-defined official] to manage the development, documentation, and dissemination of the configuration management policy and procedures; and",NCO, ,—,,
CM-01-00-12,c. Review and update the current configuration management:,CUI,03-15-01b.,3.15.1b. Review and update policies and procedures [Assignment: organization-defined frequency].,Addresses update of all policy and procedures (instead of only configuration management),
CM-01-00-13,1. Policy [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]; and,CUI,03-15-01b.,3.15.1b. Review and update policies and procedures [Assignment: organization-defined frequency].,"Removed ODP to assign ""events""",
CM-01-00-14,2. Procedures [Assignment: organization-defined frequency] and following [Assignment: organization-defined events].,CUI,03-15-01b.,3.15.1b. Review and update policies and procedures [Assignment: organization-defined frequency].,"Removed ODP to assign ""events""",
CM-02-00-00,CM-2  Baseline Configuration,CUI,03-04-01:,3.4.1  Baseline Configuration,,
CM-02-00-01,"a. Develop, document, and maintain under configuration control, a current baseline configuration of the system; and",CUI,03-04-01a.,"3.4.1a. Develop, document, and maintain under configuration control, a current baseline configuration of the system.",,
CM-02-00-02,b. Review and update the baseline configuration of the system:,CUI,03-04-01b.,3.4.1b. Review and update the baseline configuration of the system [Assignment: organization-defined frequency] and when system components are installed or upgraded.,"Combined multiple control items  CM-2b., CM-2b.1., CM-2b.2., CM-2b.3.",
CM-02-00-03,1. [Assignment: organization-defined frequency];,CUI,03-04-01b.,3.4.1b. Review and update the baseline configuration of the system [Assignment: organization-defined frequency] and when system components are installed or upgraded.,"Combined multiple control items  CM-2b., CM-2b.1., CM-2b.2., CM-2b.3.",
CM-02-00-04,2. When required due to [Assignment: Assignment organization-defined circumstances]; and,NCO, ,—,,
CM-02-00-05,3. When system components are installed or upgraded.,CUI,03-04-01b.,3.4.1b. Review and update the baseline configuration of the system [Assignment: organization-defined frequency] and when system components are installed or upgraded.,"Combined multiple control items  CM-2b., CM-2b.1., CM-2b.2., CM-2b.3.",
CM-02-02-06,CM-2(2)  Baseline Configuration | Automation Support for Accuracy and Currency,NCO, ,—,,
CM-02-02-07,"Maintain the currency, completeness, accuracy, and availability of the baseline configuration of the system using [Assignment: organization-defined automated mechanisms].",NCO, ,—,,
CM-02-03-00,CM-2(3)  Baseline Configuration | Retention of Previous Configurations,NCO, ,—,,
CM-02-03-01,Retain [Assignment: organization-defined number] of previous versions of baseline configurations of the system to support rollback.,NCO, ,—,,
CM-02-07-00,CM-2(7)  Baseline Configuration | Configure Systems and Components for High-risk Areas,CUI,03-04-12:,3.4.12  System and Component Configuration for High-Risk Areas,,
CM-02-07-01,(a) Issue [Assignment: organization-defined systems or system components] with [Assignment: organization-defined configurations] to individuals traveling to locations that the organization deems to be of significant risk; and,CUI,03-04-12a.,3.4.12a. Issue [Assignment: organization-defined system] with [Assignment: organization-defined system configurations] to individuals traveling to locations that the organization deems to be of significant risk.,"Modified ODP to remove ""system components""",
CM-02-07-02,(b) Apply the following controls to the systems or components when the individuals return from travel  [Assignment: organization-defined controls].,CUI,03-04-12b.,3.4.12b. Apply the following controls to the system when the individuals return from travel  [Assignment: organization-defined controls].,,
CM-03-00-00,CM-3  Configuration Change Control,CUI,03-04-03:,3.4.3  Configuration Change Control,,
CM-03-00-01,a. Determine and document the types of changes to the system that are configuration-controlled;,CUI,03-04-03a.,3.4.3a. Determine the types of changes to the system that are configuration-controlled.,,
CM-03-00-02,b. Review proposed configuration-controlled changes to the system and approve or disapprove such changes with explicit consideration for security and privacy impact analyses;,CUI,03-04-03b.,"3.4.3b. Review proposed configuration-controlled changes to the system, and approve or disapprove such changes with explicit consideration for security impacts.","Removed ""privacy impact analyses"" based on scope of SP 800-171",
CM-03-00-03,c. Document configuration change decisions associated with the system;,NCO, ,—,,
CM-03-00-04,d. Implement approved configuration-controlled changes to the system;,CUI,03-04-03c.,3.4.3c. Implement and document approved configuration-controlled changes to the system.,,
CM-03-00-05,e. Retain records of configuration-controlled changes to the system for [Assignment: organization-defined time period];,NCO, ,—,,
CM-03-00-06,f. Monitor and review activities associated with configuration-controlled changes to the system; and,CUI,03-04-03d.,3.4.3d. Monitor and review activities associated with configuration-controlled changes to the system.,,
CM-03-00-07,g. Coordinate and provide oversight for configuration change control activities through [Assignment: organization-defined configuration change control element] that convenes [Selection (one or more): [Assignment: organization-defined frequency] ; when [Assignment: organization-defined configuration change conditions]].,NCO, ,—,,
CM-03-02-08,"CM-3(2)  Configuration Change Control | Testing, Validation, and Documentation of Changes",NCO, ,—,,
CM-03-02-09,"Test, validate, and document changes to the system before finalizing the implementation of the changes.",NCO, ,—,,
CM-03-04-00,CM-3(4)  Configuration Change Control | Security and Privacy Representatives,NCO, ,—,,
CM-03-04-01,Require [Assignment: organization-defined security and privacy representatives] to be members of the [Assignment: organization-defined configuration change control element].,NCO, ,—,,
CM-04-00-00,CM-4  Impact Analyses,CUI,03-04-04:,3.4.4  Impact Analyses,,
CM-04-00-01,Analyze changes to the system to determine potential security and privacy impacts prior to change implementation.,CUI,03-04-04a.,3.4.4a. Analyze the security impact of changes to the system prior to implementation.,"Removed ""privacy impact "" based on scope of SP 800-171",
CM-04-02-02,CM-4(2)  Impact Analyses | Verification of Controls,CUI,03-04-04:,3.4.4  Impact Analyses,,
CM-04-02-03,"After system changes, verify that the impacted controls are implemented correctly, operating as intended, and producing the desired outcome with regard to meeting the security and privacy requirements for the system.",CUI,03-04-04b.,"3.4.4b. After system changes, verify that the impacted controls are implemented correctly, operating as intended, and producing the desired outcome with regard to meeting specified security requirements.","Removed ""privacy requirements"" based on scope of SP 800-171",
CM-05-00-00,CM-5  Access Restrictions for Change,CUI,03-04-05:,3.4.5  Access Restrictions for Change,,
CM-05-00-01,"Define, document, approve, and enforce physical and logical access restrictions associated with changes to the system.",CUI,03-04-05.,"3.4.5. Define, document, approve, and enforce physical and logical access restrictions associated with changes to the system.",,
CM-06-00-00,CM-6  Configuration Settings,CUI,03-04-02:,3.4.2  Configuration Settings,,
CM-06-00-01,a. Establish and document configuration settings for components employed within the system that reflect the most restrictive mode consistent with operational requirements using [Assignment: organization-defined common secure configurations];,CUI,03-04-02a.,"3.4.2a. Establish, document, and implement configuration settings for the system that reflect the most restrictive mode consistent with operational requirements using [Assignment: organization-defined common secure configurations].","Combined multiple control items  CM-6a., CM-6b.",
CM-06-00-02,b. Implement the configuration settings;,CUI,03-04-02a.,"3.4.2a. Establish, document, and implement configuration settings for the system that reflect the most restrictive mode consistent with operational requirements using [Assignment: organization-defined common secure configurations].","Combined multiple control items  CM-6a., CM-6b.",
CM-06-00-03,"c. Identify, document, and approve any deviations from established configuration settings for [Assignment: organization-defined system components] based on [Assignment: organization-defined operational requirements]; and",CUI,03-04-02b.,"3.4.2b. Identify, document, and approve any deviations from established configuration settings.","Removed ODP to assign ""system components""
Removed ODP to assign ""operational requirements""",
CM-06-00-04,d. Monitor and control changes to the configuration settings in accordance with organizational policies and procedures.,CUI,03-04-02c.,3.4.2c. Monitor and control changes to the configuration settings in accordance with organizational policies and procedures.,,
CM-07-00-00,CM-7  Least Functionality,CUI,03-04-06:,3.4.6  Least Functionality,,
CM-07-00-01,a. Configure the system to provide only [Assignment: organization-defined mission essential capabilities]; and,CUI,03-04-06a.,3.4.6a. Configure the system to provide only mission-essential capabilities.,"Removed ODP to assign ""mission essential capabilities""",
CM-07-00-02,"b. Prohibit or restrict the use of the following functions, ports, protocols, software, and/or services  [Assignment: organization-defined prohibited or restricted functions, system ports, protocols, software, and/or services].",CUI,03-04-06b.,"3.4.6b. Prohibit or restrict use of the following functions, ports, protocols, software, and/or services  [Assignment: organization-defined prohibited or restricted functions, system ports, protocols, software, and/or services].",,
CM-07-01-03,CM-7(1)  Least Functionality | Periodic Review,CUI,03-04-06:,3.4.6  Least Functionality,,
CM-07-01-04,"(a) Review the system [Assignment: organization-defined frequency] to identify unnecessary and/or nonsecure functions, ports, protocols, software, and services; and",CUI,03-04-06d.,"3.4.6d. Review the system [Assignment: organization-defined frequency] to identify and disable/remove functions, ports, protocols, software, and/or services identified in 3.4.6b.","Added reference to ODP from CM-7b./3.4.6b.
Combined multiple control items  CM-7(1)(a), CM-7(1)(b)
Removed ODP to assign ""functions, ports, protocols, software, and services within the system deemed to be unnecessary and/or nonsecure""",
CM-07-01-05,"(b) Disable or remove [Assignment: organization-defined functions, ports, protocols, software, and services within the system deemed to be unnecessary and/or nonsecure].",CUI,03-04-06d.,"3.4.6d. Review the system [Assignment: organization-defined frequency] to identify and disable/remove functions, ports, protocols, software, and/or services identified in 3.4.6b.","Added reference to ODP from CM-7b./3.4.6b.
Combined multiple control items  CM-7(1)(a), CM-7(1)(b)
Removed ODP to assign ""functions, ports, protocols, software, and services within the system deemed to be unnecessary and/or nonsecure""",
CM-07-02-00,CM-7(2)  Least Functionality | Prevent Program Execution,CUI,03-04-06:,3.4.6  Least Functionality,,
CM-07-02-01,"Prevent program execution in accordance with [Selection (one or more):  [Assignment: organization-defined policies, rules of behavior, and/or access agreements regarding software program usage and restrictions]; rules authorizing the terms and conditions of software program usage].",CUI,03-04-06c.,"3.4.6c. Prevent program execution in accordance with [Selection (one or more): [Assignment: organization-defined policies, rules of behavior, and/or access agreements regarding software program usage and restrictions]; rules authorizing the terms and conditions of software program usage].",,
CM-07-05-00,CM-7(5)  Least Functionality | Authorized Software,CUI,03-04-08:,3.4.8  Authorized Software – Allow by Exception,,
CM-07-05-01,(a) Identify [Assignment: organization-defined software programs authorized to execute on the system];,CUI,03-04-08a.,3.4.8a. Identify software programs authorized to execute on the system.,"Removed ODP to assign ""software programs authorized to execute on the system""; no change in outcome",
CM-07-05-02,"(b) Employ a deny-all, permit-by-exception policy to allow the execution of authorized software programs on the system; and",CUI,03-04-08b.,"3.4.8b. Implement a deny-all, allow-by-exception policy to allow the execution of authorized software programs on the system.",,
CM-07-05-03,(c) Review and update the list of authorized software programs [Assignment: organization-defined frequency].,CUI,03-04-08c.,3.4.8c. Review and update the list of authorized software programs [Assignment: organization-defined frequency].,,
CM-08-00-00,CM-8  System Component Inventory,CUI,03-04-10:,3.4.10  System Component Inventory,,
CM-08-00-01,a. Develop and document an inventory of system components that:,CUI,03-04-10a.,3.4.10a. Develop and document an inventory of system components.,,
CM-08-00-02,1. Accurately reflects the system;,NCO, ,—,,
CM-08-00-03,2. Includes all components within the system;,NCO, ,—,,
CM-08-00-04,3. Does not include duplicate accounting of components or components assigned to any other system;,NCO, ,—,,
CM-08-00-05,4. Is at the level of granularity deemed necessary for tracking and reporting; and,NCO, ,—,,
CM-08-00-06,5. Includes the following information to achieve system component accountability  [Assignment: organization-defined information deemed necessary to achieve effective system component accountability]; and,NCO, ,—,,
CM-08-00-07,b. Review and update the system component inventory [Assignment: organization-defined frequency].,CUI,03-04-10b.,"3.4.10b. Review and update the system component inventory [Assignment: organization-defined frequency] and as part of component installations, removals, and system updates.","Combined multiple control items  CM-8b., CM-8(1)",
CM-08-01-00,CM-8(1)  System Component Inventory | Updates During Installation and Removal,CUI,03-04-10:,3.4.10  System Component Inventory,,
CM-08-01-01,"Update the inventory of system components as part of component installations, removals, and system updates.",CUI,03-04-10b.,"3.4.10b. Review and update the system component inventory [Assignment: organization-defined frequency] and as part of component installations, removals, and system updates.","Combined multiple control items  CM-8b., CM-8(1)",
CM-08-03-00,CM-8(3)  System Component Inventory | Automated Unauthorized Component Detection,NCO, ,—,,
CM-08-03-01,"(a) Detect the presence of unauthorized hardware, software, and firmware components within the system using [Assignment: organization-defined automated mechanisms] [Assignment: organization-defined frequency]; and",NCO, ,—,,
CM-08-03-02,(b) Take the following actions when unauthorized components are detected  [Selection (one or more): disable network access by such components; isolate the components; notify [Assignment: organization-defined personnel or roles]].,NCO, ,—,,
CM-09-00-00,CM-9  Configuration Management Plan,NFO, ,—,,
CM-09-00-01,"Develop, document, and implement a configuration management plan for the system that ",NFO, ,—,,
CM-09-00-02,"a. Addresses roles, responsibilities, and configuration management processes and procedures;",NFO, ,—,,
CM-09-00-03,b. Establishes a process for identifying configuration items throughout the system development life cycle and for managing the configuration of the configuration items;,NFO, ,—,,
CM-09-00-04,c. Defines the configuration items for the system and places the configuration items under configuration management;,NFO, ,—,,
CM-09-00-05,d. Is reviewed and approved by [Assignment: organization-defined personnel or roles]; and,NFO, ,—,,
CM-09-00-06,e. Protects the configuration management plan from unauthorized disclosure and modification.,NFO, ,—,,
CM-10-00-00,CM-10  Software Usage Restrictions,NCO, ,—,,
CM-10-00-01,a. Use software and associated documentation in accordance with contract agreements and copyright laws;,NCO,,—,,
CM-10-00-02,b. Track the use of software and associated documentation protected by quantity licenses to control copying and distribution; and,NCO, ,—,,
CM-10-00-03,"c. Control and document the use of peer-to-peer file sharing technology to ensure that this capability is not used for the unauthorized distribution, display, performance, or reproduction of copyrighted work.",NCO, ,—,,
CM-11-00-00,CM-11  User-installed Software,CUI,03-04-09:,3.4.9  User-Installed Software,,
CM-11-00-01,a. Establish [Assignment: organization-defined policies] governing the installation of software by users;,CUI,03-04-09a.,3.4.9a. Establish policies governing the installation of software by users.,"Removed ODP to assign ""policies""; no change in outcome",
CM-11-00-02,b. Enforce software installation policies through the following methods  [Assignment: organization-defined methods]; and,CUI,03-04-09b.,3.4.9b. Enforce software installation policies through the following methods  [Assignment: organization-defined methods].,,
CM-11-00-03,c. Monitor policy compliance [Assignment: organization-defined frequency].,CUI,03-04-09c.,3.4.9c. Monitor policy compliance [Assignment: organization-defined frequency].,,
CM-12-00-00,CM-12  Information Location,CUI,03-04-11:,3.4.11  Information Location,,
CM-12-00-01,a. Identify and document the location of [Assignment: organization-defined information] and the specific system components on which the information is processed and stored;,CUI,03-04-11a.,3.4.11a. Identify and document the location within the system where CUI is processed and stored.,"Removed ODP to assign ""information""; changed  ""information"" to ""CUI"" based on scope of SP 800-171",
CM-12-00-02,b. Identify and document the users who have access to the system and system components where the information is processed and stored; and,CUI,03-04-11b.,3.4.11b. Identify and document the users who have access to the system where CUI is processed and stored.,"Changed  ""information"" to ""CUI"" based on scope of SP 800-171",
CM-12-00-03,"c. Document changes to the location (i.e., system or system components) where the information is processed and stored.",CUI,03-04-11c.,3.4.11c. Document changes to the location where CUI is processed and stored.,"Changed  ""information"" to ""CUI"" based on scope of SP 800-171",
CM-12-01-01,CM-12(1)  Information Location | Automated Tools to Support Information Location,NCO, ,—,,
CM-12-01-02,Use automated tools to identify [Assignment: organization-defined information by information type] on [Assignment: organization-defined system components] to ensure controls are in place to protect organizational information and individual privacy.,NCO, ,—,,
CP-01-00-00,CP-1  Policy and Procedures,NCO, ,—,,
CP-01-00-01,"a. Develop, document, and disseminate to [Assignment: organization-defined personnel or roles] ",NCO, ,—,,
CP-01-00-02,1. [Selection (one or more): organization-level; mission/business process-level; system-level] contingency planning policy that ,NCO, ,—,,
CP-01-00-03,"(a) Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and",NCO, ,—,,
CP-01-00-04,"(b) Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and",NCO, ,—,,
CP-01-00-05,2. Procedures to facilitate the implementation of the contingency planning policy and the associated contingency planning controls;,NCO, ,—,,
CP-01-00-06,"b. Designate an [Assignment: organization-defined official] to manage the development, documentation, and dissemination of the contingency planning policy and procedures; and",NCO, ,—,,
CP-01-00-07,c. Review and update the current contingency planning ,NCO, ,—,,
CP-01-00-08,1. Policy [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]; and,NCO, ,—,,
CP-01-00-09,2. Procedures [Assignment: organization-defined frequency] and following [Assignment: organization-defined events].,NCO, ,—,,
CP-02-00-00,CP-2  Contingency Plan,NCO, ,—,,
CP-02-00-01,a. Develop a contingency plan for the system that ,NCO, ,—,,
CP-02-00-02,1. Identifies essential mission and business functions and associated contingency requirements;,NCO, ,—,,
CP-02-00-03,"2. Provides recovery objectives, restoration priorities, and metrics;",NCO, ,—,,
CP-02-00-04,"3. Addresses contingency roles, responsibilities, assigned individuals with contact information;",NCO, ,—,,
CP-02-00-05,"4. Addresses maintaining essential mission and business functions despite a system disruption, compromise, or failure;",NCO, ,—,,
CP-02-00-06,"5. Addresses eventual, full system restoration without deterioration of the controls originally planned and implemented;",NCO, ,—,,
CP-02-00-07,6. Addresses the sharing of contingency information; and,NCO, ,—,,
CP-02-00-08,7. Is reviewed and approved by [Assignment: organization-defined personnel or roles];,NCO, ,—,,
CP-02-00-09,b. Distribute copies of the contingency plan to [Assignment: organization-defined key contingency personnel (identified by name and/or by role) and organizational elements];,NCO, ,—,,
CP-02-00-10,c. Coordinate contingency planning activities with incident handling activities;,NCO, ,—,,
CP-02-00-11,d. Review the contingency plan for the system [Assignment: organization-defined frequency];,NCO, ,—,,
CP-02-00-12,"e. Update the contingency plan to address changes to the organization, system, or environment of operation and problems encountered during contingency plan implementation, execution, or testing;",NCO, ,—,,
CP-02-00-13,f. Communicate contingency plan changes to [Assignment: organization-defined key contingency personnel (identified by name and/or by role) and organizational elements];,NCO, ,—,,
CP-02-00-14,"g. Incorporate lessons learned from contingency plan testing, training, or actual contingency activities into contingency testing and training; and",NCO, ,—,,
CP-02-00-15,h. Protect the contingency plan from unauthorized disclosure and modification.,NCO, ,—,,
CP-02-01-00,CP-2(1)  Contingency Plan | Coordinate with Related Plans,NCO, ,—,,
CP-02-01-01,Coordinate contingency plan development with organizational elements responsible for related plans.,NCO, ,—,,
CP-02-03-00,CP-2(3)  Contingency Plan | Resume Mission and Business Functions,NCO, ,—,,
CP-02-03-01,Plan for the resumption of [Selection: all; essential] mission and business functions within [Assignment: organization-defined time period] of contingency plan activation.,NCO, ,—,,
CP-02-08-00,CP-2(8)  Contingency Plan | Identify Critical Assets,NCO, ,—,,
CP-02-08-01,Identify critical system assets supporting [Selection: all; essential] mission and business functions.,NCO, ,—,,
CP-03-00-00,CP-3  Contingency Training,NCO, ,—,,
CP-03-00-01,a. Provide contingency training to system users consistent with assigned roles and responsibilities ,NCO, ,—,,
CP-03-00-02,1. Within [Assignment: organization-defined time period] of assuming a contingency role or responsibility;,NCO, ,—,,
CP-03-00-03,2. When required by system changes; and,NCO, ,—,,
CP-03-00-04,3. [Assignment: organization-defined frequency] thereafter; and,NCO, ,—,,
CP-03-00-05,b. Review and update contingency training content [Assignment: organization-defined frequency] and following [Assignment: organization-defined events].,NCO, ,—,,
CP-04-00-00,CP-4  Contingency Plan Testing,NCO, ,—,,
CP-04-00-01,a. Test the contingency plan for the system [Assignment: organization-defined frequency] using  the following tests to determine the effectiveness of the plan and the readiness to execute the plan  [Assignment: organization-defined tests].,NCO, ,—,,
CP-04-00-02,b. Review the contingency plan test results; and,NCO, ,—,,
CP-04-00-03,"c. Initiate corrective actions, if needed.",NCO, ,—,,
CP-04-01-00,CP-4(1)  Contingency Plan Testing | Coordinate with Related Plans,NCO, ,—,,
CP-04-01-01,Coordinate contingency plan testing with organizational elements responsible for related plans.,NCO, ,—,,
CP-06-00-00,CP-6  Alternate Storage Site,NCO, ,—,,
CP-06-00-01,"a. Establish an alternate storage site, including necessary agreements to permit the storage and retrieval of system backup information; and",NCO, ,—,,
CP-06-00-02,b. Ensure that the alternate storage site provides controls equivalent to that of the primary site.,NCO, ,—,,
CP-06-01-00,CP-6(1)  Alternate Storage Site | Separation from Primary Site,NCO, ,—,,
CP-06-01-01,Identify an alternate storage site that is sufficiently separated from the primary storage site to reduce susceptibility to the same threats.,NCO, ,—,,
CP-06-03-00,CP-6(3)  Alternate Storage Site | Accessibility,NCO, ,—,,
CP-06-03-01,Identify potential accessibility problems to the alternate storage site in the event of an area-wide disruption or disaster and outline explicit mitigation actions.,NCO, ,—,,
CP-07-00-00,CP-7  Alternate Processing Site,NCO, ,—,,
CP-07-00-01,"a. Establish an alternate processing site, including necessary agreements to permit the transfer and resumption of [Assignment: organization-defined system operations] for essential mission and business functions within [Assignment: organization-defined time period consistent with recovery time and recovery point objectives] when the primary processing capabilities are unavailable;",NCO, ,—,,
CP-07-00-02,"b. Make available at the alternate processing site, the equipment and supplies required to transfer and resume operations or put contracts in place to support delivery to the site within the organization-defined time period for transfer and resumption; and",NCO, ,—,,
CP-07-00-03,c. Provide controls at the alternate processing site that are equivalent to those at the primary site.,NCO, ,—,,
CP-07-01-00,CP-7(1)  Alternate Processing Site | Separation from Primary Site,NCO, ,—,,
CP-07-01-01,Identify an alternate processing site that is sufficiently separated from the primary processing site to reduce susceptibility to the same threats.,NCO, ,—,,
CP-07-02-00,CP-7(2)  Alternate Processing Site | Accessibility,NCO, ,—,,
CP-07-02-01,Identify potential accessibility problems to alternate processing sites in the event of an area-wide disruption or disaster and outlines explicit mitigation actions.,NCO, ,—,,
CP-07-03-00,CP-7(3)  Alternate Processing Site | Priority of Service,NCO, ,—,,
CP-07-03-01,Develop alternate processing site agreements that contain priority-of-service provisions in accordance with availability requirements (including recovery time objectives).,NCO, ,—,,
CP-08-00-00,CP-8  Telecommunications Services,NCO, ,—,,
